REACTIONS
ENTRY;DATABASE ID;EQUATION;Lower FLUX bound;Upper FLUX bound;Min FLUX;Max FLUX
1;rxn00351_c0;cpd00506_c0 + ATP_c0 + Glycine_c0 => H+_c0 + GSH_c0 + cpd00009_c0 + ADP_c0;0;1000;0;0
2;rxn08180_c0;cpd00017_c0 + S_c0 + cpd01311_c0 => H+_c0 + cpd03091_c0 + cpd00060_c0 + BIOT_c0;0;1000;0;0
3;rxn00423_c0;cpd00054_c0 + cpd00022_c0 => CoA_c0 + cpd00722_c0;0;1000;0.00254025;0.0254025
4;rxn00364_c0;ATP_c0 + H+_c0 + CMP_c0 <=> ADP_c0 + CDP_c0;-1000;1000;0.0258817;0.258817
5;rxn02177_c0;cpd00658_c0 + H2O_c0 => cpd00020_c0 + cpd02566_c0;0;1000;0;0
6;rxn00247_c0;ATP_c0 + cpd00032_c0 => ADP_c0 + cpd00061_c0 + CO2_c0;0;1000;0;996.114
7;rxn05625_c0;Nitrite_e0[e] + H+_e0[e] <=> H+_c0 + Nitrite_c0;-1000;1000;-0.304488;0
8;rxn00022_c0;H2O_c0 + Maltose_c0 => 2 cpd00027_c0;0;1000;0;996.114
9;rxn00973_c0;Citrate_c0 <=> cpd00260_c0;-1000;1000;-999.947;1000
10;rxn03120_c0;cpd02807_c0 + cpd01140_c0 <=> UDP_c0 + Apiin_c0;-1000;1000;0;0
11;rxn00322_c0;H+_c0 + cpd00039_c0 => CO2_c0 + cpd01155_c0;0;1000;0;0
12;rxn13783_c0; => cpd17042_c0;0;1000;0.0507834;0.507834
13;rxn12008_c0;H+_c0 + cpd02557_c0 + PPi_c0 <= cpd02590_c0 + cpd00113_c0;-1000;-0;-0.00471748;-0.000471748
14;rxn04070_c0;cpd08289_c0 + cpd08449_c0 => H+_c0 + cpd00009_c0 + 2 H2O_c0 + cpd00478_c0;0;1000;0;0
15;rxn10270_c0;H2O_c0 + cpd15721_c0 => H+_c0 + cpd00009_c0 + cpd15727_c0;0;1000;0;0
16;rxn12637_c0;H2O_c0 + cpd11589_c0 <=> Glycine_c0 + cpd00041_c0;-1000;1000;0;0
17;rxn01219_c0;ATP_c0 + H+_c0 + dCMP_c0 <=> ADP_c0 + dCDP_c0;-1000;1000;0.000826444;1000
18;rxn05958_c0;cpd02227_c0 => cpd08636_c0 + cpd00135_c0;0;1000;0;0
19;rxn00800_c0;cpd02375_c0 <=> AMP_c0 + cpd00106_c0;-1000;1000;0.00733931;0.0733931
20;rxn08333_c0;cpd02557_c0 + cpd02295_c0 => CO2_c0 + PPi_c0 + cpd15353_c0;0;1000;0.000314498;0.00314498
21;rxn01705_c0;dCTP_c0 + cpd00367_c0 <=> H+_c0 + CMP_c0 + dCDP_c0;-1000;1000;-1000;999.999
22;rxn00211_c0;H2O_c0 + cpd00026_c0 + 2 NAD_c0 <=> 3 H+_c0 + cpd00144_c0 + 2 NADH_c0;-1000;1000;0;0
23;rxn01218_c0;H2O_c0 + dCMP_c0 => cpd00009_c0 + cpd00654_c0;0;1000;0;0
24;rxn03360_c0;CO2_c0 + cpd03349_c0 <=> H+_c0 + cpd03362_c0;-1000;1000;0;0
25;rxn02319_c0;ATP_c0 + cpd01186_c0 <=> H+_c0 + ADP_c0 + cpd00806_c0;-1000;1000;0;0
26;rxn08807_c0;H2O_c0 + cpd15317_c0 <=> H+_c0 + cpd00908_c0 + cpd15237_c0;-1000;1000;0;0
27;rxn02320_c0;cpd00024_c0 + cpd00807_c0 <=> cpd00023_c0 + cpd00930_c0;-1000;1000;0;0
28;rxn04082_c0;cpd00808_c0 <=> cpd00198_c0;-1000;1000;0;0
29;rxn02796_c0;H2O_c0 + cpd03246_c0 <=> Taurine_c0 + cpd01663_c0;-1000;1000;0;0
30;rxn08084_c0;H+_c0 + cpd15331_c0 + cpd11466_c0 => cpd15522_c0 + ACP_c0;0;1000;0;0
31;rxn01486_c0;cpd00113_c0 + cpd00350_c0 => H+_c0 + PPi_c0 + cpd00289_c0;0;1000;0.000471748;0.00471748
32;rxn05040_c0;cpd00171_c0 => H+_c0 + cpd11225_c0 + Formate_c0;0;1000;0.000628997;0.00628997
33;rxn02090_c0;H+_c0 + H2O_c0 + cpd00585_c0 <=> cpd01679_c0 + NH3_c0;-1000;1000;0;0
34;rxn00165_c0;cpd00054_c0 <=> cpd00020_c0 + NH3_c0;-1000;1000;-0.322841;-0.0322841
35;rxn00765_c0;cpd00100_c0 + NADP_c0 <=> H+_c0 + cpd00448_c0 + NADPH_c0;-1000;1000;-1000;1000
36;rxn05814_c0;ATP_c0 + cpd12232_c0 <=> ADP_c0 + NDP_c0;-1000;1000;0;0
37;rxn00539_c0;cpd00162_c0 <=> NH3_c0 + cpd00071_c0;-1000;1000;-0.000689965;-6.89965e-05
38;rxn11726_c0;H2O_c0 + cpd14891_c0 <=> 2 H+_c0 + CoA_c0 + cpd16342_c0;-1000;1000;0;0
39;rxn00001_c0;H2O_c0 + PPi_c0 => H+_c0 + 2 cpd00009_c0;0;1000;0;996.114
40;rxn01322_c0;Neu5Ac_c0 <=> cpd00020_c0 + cpd00492_c0;-1000;1000;0;0
41;rxn00710_c0;H+_c0 + cpd00810_c0 => CO2_c0 + UMP_c0;0;1000;0.0364649;0.367613
42;rxn08817_c0;H2O_c0 + cpd15350_c0 <=> 2 H+_c0 + cpd00080_c0 + ddca_c0;-1000;1000;0;0
43;rxn00910_c0;NADP_c0 + cpd00345_c0 <=> H+_c0 + NADPH_c0 + cpd00125_c0;-1000;1000;-1000;999.992
44;rxn01129_c0;Uridine_c0 + dATP_c0 <=> H+_c0 + UMP_c0 + dADP_c0;-1000;1000;-1000;1000
45;rxn08296_c0;ATP_c0 + cpd15308_c0 <=> ADP_c0 + cpd15523_c0;-1000;1000;0;0
46;rxn00717_c0;H+_c0 + H2O_c0 + cpd00307_c0 => NH3_c0 + Uracil_c0;0;1000;0;0
47;rxn01297_c0;H2O_c0 + NAD_c0 + HYXN_c0 <=> H+_c0 + NADH_c0 + XAN_c0;-1000;1000;0;0
48;rxn10254_c0;ATP_c0 + cpd15702_c0 <=> ADP_c0 + cpd15678_c0;-1000;1000;0;0
49;rxn08796_c0;H2O_c0 + cpd15325_c0 <=> H+_c0 + cpd00080_c0 + ddca_c0;-1000;1000;0;0
50;rxn08941_c0;cpd00009_c0 + cpd15495_c0 <=> cpd01399_c0 + cpd00089_c0;-1000;1000;-1000;1000
51;rxn06493_c0;NAD_c0 + cpd12225_c0 <=> H+_c0 + NADH_c0 + cpd12005_c0;-1000;1000;0;0
52;rxn10214_c0;cpd15671_c0 + fa11coa_c0 => H+_c0 + CoA_c0 + cpd15677_c0;0;1000;0.00216298;0.0216298
53;rxn12846_c0;H2O_c0 + Gly-Phe_c0 <=> Glycine_c0 + cpd00066_c0;-1000;1000;0;0
54;rxn00337_c0;ATP_c0 + cpd00041_c0 <=> ADP_c0 + cpd01977_c0;-1000;1000;0.0157656;0.157656
55;rxn01231_c0;H+_c0 + cpd00395_c0 <=> CO2_c0 + Taurine_c0;-1000;1000;0;0
56;rxn08823_c0;H2O_c0 + cpd15357_c0 <=> 2 H+_c0 + cpd00080_c0 + cpd15269_c0;-1000;1000;0;0
57;rxn08127_c0;Maltose_c0 + cpd01399_c0 <=> cpd00027_c0 + cpd15495_c0;-1000;1000;-1000;1000
58;rxn01134_c0;Maltose_c0 <=> TRHL_c0;-1000;1000;-1000;-3.88614
59;rxn07577_c0;H+_c0 + NADPH_c0 + cpd14938_c0 <=> NADP_c0 + cpd14939_c0;-1000;1000;0;0
60;rxn00902_c0;H+_c0 + CoA_c0 + cpd01646_c0 <= cpd00022_c0 + H2O_c0 + cpd00123_c0;-1000;-0;-0.190635;-0.0190635
61;rxn00658_c0;H2O_c0 + cpd00788_c0 <=> cpd00085_c0 + Acetate_c0;-1000;1000;0;0
62;rxn03872_c0;H2O_c0 + cpd06717_c0 <=> H+_c0 + cpd04103_c0;-1000;1000;0;0
63;rxn01739_c0;ATP_c0 + cpd00383_c0 <=> H+_c0 + ADP_c0 + cpd02030_c0;-1000;1000;0.017316;0.17316
64;rxn02400_c0;H2O_c0 + cpd00873_c0 => cpd00009_c0 + cpd03471_c0;0;1000;0;0
65;rxn01974_c0;cpd00504_c0 <=> cpd00516_c0;-1000;1000;0;0
66;rxn01287_c0;ATP_c0 + cpd00224_c0 <=> H+_c0 + ADP_c0 + cpd02428_c0;-1000;1000;0;0
67;rxn12641_c0;H2O_c0 + cpd11585_c0 <=> Glycine_c0 + cpd00035_c0;-1000;1000;0;0
68;rxn04673_c0;cpd02295_c0 + cpd03214_c0 => 2 H+_c0 + CO2_c0 + PPi_c0 + cpd09410_c0;0;1000;0;0
69;rxn03887_c0;cpd00652_c0 => H2O_c0 + cpd00515_c0;0;1000;0;0
70;rxn09198_c0;2 H+_c0 + cpd15553_c0 <=> CO2_c0 + cpd15529_c0;-1000;1000;0;0
71;rxn08838_c0;H2O_c0 + cpd15336_c0 <=> H+_c0 + cpd00908_c0 + ddca_c0;-1000;1000;0;0
72;rxn00100_c0;ATP_c0 + cpd00655_c0 => H+_c0 + ADP_c0 + CoA_c0;0;1000;0.000157249;0.00157249
